"State","Date","Text","Sen_length"
"Washington","1889-10-01","Any amendment or amendments to this Constitution may be proposedin either branch of the legislature; and if the same shall be agreed to by two-thirds of themembers elected to each of the two houses, such proposed amendment or amendments shall beentered on their journals, with the ayes and noes thereon, and be submitted to the qualified electorsof the state for their approval, at the next general election; and if the people approve and ratifysuch amendment or amendments, by a majority of the electors voting thereon, the same shallbecome part of this Constitution, and proclamation thereof shall be made by the governor: Provided,That if more than one amendment be submitted, they shall be submitted in such a mannerthat the people may vote for or against such amendments separately.",128
"Utah","1895-05-08","(1) The Governor, Lieutenant Governor, State Auditor, State Treasurer, Attorney General, and any other state officer as the Legislature may provide, shall receive for their services a fixed and definite compensation as provided by law. (2)(a) The compensation provided for in Subsection (1) shall be in full for all services rendered by those officers in any official capacity or employment during their terms of office. (b) An officer may not receive for the performance of any official duty any fee for personal use, but all fees fixed by the Legislature for the performance by any of them of any official duty shall be collected in advance and deposited with the appropriate treasury. (c) The Legislature may provide for the payment of actual and necessary expenses of those officers while traveling in the performance of official duties.",137
"Illinois","1818-08-26","The number of justices may, however, be increased by the general assembly after the year 1824.",16
"South Carolina","1896-01-01","Amendment 626 [1995]   (g) All new manufacturing establishments located in any of the counties of this state after July 1, 1977, for five years from the time of establishment and all additions to the manufacturing establishments located in any of the counties of this State for five years from the time each of these additions is made if the cost of the addition is fifty thousand dollars or more.",69
"Alabama","1901-11-28","Such tax may be upon all property in any municipality in Fayette county or upon allproperty in any district the boundaries of which the governing body of such municipality shall describeand which it shall determine to be specially improved and benefited by any proposed use orexpenditure of the proceeds of such tax.",52
"Utah","1895-05-08","These exemptions shall accrue to the benefit of the users of water so pumped under such regulations as the Legislature may prescribe.",22
"Pennsylvania","1969-01-01","Laws 365]    Section 18.0 0 [Last Modified: 4/27/2005 4:45:54 PM]   Section 18.",16
"Louisiana","1868-03-02","He must be a citizen of the United States, over the age of twenty-five years, and have resided in the State and practised law therein for the space of two years next preceding his election.",35
"South Carolina","1896-01-01","Provided, that the General Assembly need not prescribe any such petition as a condition precedent to the holding of any such election of the City of Columbia where the proceeds of bonds are authorized to be used solely for the purpose of enlarging, extending and repairing a sewage system and a plant or a water works system and plant, or for the purchase, building and maintenance of fire stations, fire alarm systems, and fire equipment, or for any one or more of said purposes.",84
"Pennsylvania","1874-01-01","Senators shall be elected for the term of four years and Representatives for the term of two years.",18
"North Dakota","1981-01-01","Any of said lands that may be required for townsite purposes, schoolhouse sites, church sites, cemetery sites, sites for other educational or charitable institutions, public parks, airplane landing fields, fairgrounds, public highways, railroad right of way, or other railroad uses and purposes, reservoirs for the storage of water for irrigation, irrigation canals, and ditches, drainage ditches, or for any of the purposes for which private lands may be taken under the right of eminent domain under the constitution and laws of this state, may be sold under the provisions of this article, and shall be paid for in full at the time of sale, or at any time thereafter as herein provided.",112
"Florida","1868-07-04","All othercivil officers shall be tried for misdemeanor in office in such manner as the Legislature may provide.",18
"Nevada","1864-03-21","In case of the disability or disqualification, for any cause, of the chief justice or one of the associate justices of the supreme court, or any two of them, the governor is authorized and empowered to designate any district judge or judges to sit in the place or places of such disqualified or disabled justice or justices, and said judge or judges so designated shall receive their actual expenses of travel and otherwise while sitting in said supreme court.",79
"New Jersey","1947-11-04","3, 1953   Article 5.0 [Last Modified: 1/1/2003]     Section 1.0 1 [Last Modified: 1/1/2003]  ARTICLE 5, SEC.",20
"Washington","1889-10-01","The compensation for state officers shall not be increasedor diminished during the term for which they shall have been elected.",20
"South Carolina","1896-01-01","The charter shall provide for a system of courts inferior to circuit courts which may hear cases arising from the ordinances enacted by the government established under the charter and exercise all powers now or hereafter granted to magistrates, municipal, or inferior courts by the Constitution and laws of the State.",51
"Kentucky","1891-09-28","Persons who at the time of the election, are in confinement under the judgment of a court for some penal offense.",21
"Texas","1876-02-15","County attorneys shall receive as compensation only such fees, commissions, and perquisites as may be prescribed by law.",18
"Mississippi","1868-03-13","The Legislature shall provide by law for the indictment and trial of persons charged with the commission of any felony, in any country other than that in which the offence was committed, whenever, owing to prejudice, or any other cause, an Impartial grand or petit jury cannot be empannelled in the county in which the offence was committed.",58
"Louisiana","1913-11-22","No appropriation of money shall be made by the General Assembly in the last five days of the session thereof.",20
"Maryland","1776-11-10","That the trial of facts where they arise, is one of the greasest securities of the lives, liberties and estates of the people.",23
"Delaware","1831-12-02","When they concur in opinion there shall be no appeal from their decision except in matter of real estate.",19
"New Mexico","1911-01-01","The salary of any elective or appointive officer of a city and county shall not be changed after his election or appointment or during his term of office; nor shall the term of any such officer be extended beyond the period for which he is elected or appointed.",48
"Wyoming","1889-09-30","The legislature shall by law designate county offices and shall, from time to time, fix the salaries of county officers, which shall in all cases be in proportion to the value of the services rendered and the duties performed.",39
"Indiana","1851-11-01","The Governor shall transact all necessary business with the officers of Government, and may require any information in writing from the officers of the administrative department, upon any subject relating to the duties of their respective offices.",37
"Arizona","1912-02-14","The legislature may provide for the appointment of members of the bar having the qualifications provided in section 22 of this article as judges pro tempore of courts inferior to the supreme court.",33
"Louisiana","1974-01-01","B 0 [Last Modified: 6/16/2004 6:38:13 PM]  (B) Right to Counsel.",15
"South Dakota","1889-10-01","The manufacture, distribution and sale of cement and cement products are hereby declared to be works of public necessity and importance in which the state may engage, and suitable laws may be enacted by the Legislature to empower the state to acquire, by purchase or appropriation, all lands, easements, rights of way, tracks, structures, equipment, cars, motive power, implements, facilities, instrumentalities and material, incident or necessary to carry the provisions of this section into effect: provided, however, that no expenditure of money for the purposes enumerated in this section shall be made, except upon a vote of two-thirds of the members elect of each branch of the Legislature.",108
"Florida","1968-11-05","(1)The governor, by proclamation stating the purpose, may convene the legislature in special sessionduring which only such legislative business may be transacted as is within the purview of theproclamation, or of a communication from the governor, or is introduced by consent of two-thirdsof the membership of each house.",49
"Kentucky","1891-09-28","The power of the referendum shall be ordered by the Legislative Assemblyat any time any acts or bills are enacted, pursuant to the power granted under this sectionor amended section, prior to the year of one thousand nine hundred and seventeen.",41
"Texas","1876-02-15","Cities having more than ten thousand inhabitants may have their charters granted or amended by special act of the legislature, and may levy, assess, and collect such taxes as may be authorized by law, but no tax for any purpose shall ever be lawful, for any one year, which shall exceed two and one-half per cent. of the taxable property of such city; and no debt shall ever be created by any city, unless at the same time provision be made to assess and collect annually a sufficient sum to pay the interest thereon and create a sinking-fund of at least two per cent. thereon.",105
"Washington","1889-10-01","Any association or corporation, or the lessees or managers thereof, organized for the purpose, or any individual, shall have the right, to construct and maintain lines of telegraph and telephone within this state, and said companies shall receive and transmit each other's messages without delay or discrimination and all of such companies are hereby declared to be common carriers aud subject to legislative control.",64
"California","1849-11-13","The election shall be conducted in the manner which was prescribed for the election of delegates to this convention, except that the prefect, sub-prefect, or senior judge of first instance ordering such election in each district, shall have power to designate any additional number of places for opening the polls, and that, in every place of holding the election, a regular poll-list shall be kept by the judges and inspectors of election.",72
"West Virginia","1872-12-01","If the office of secretary of state, auditor, treasurer, state superintendent of free schools, or attorney general, shall become vacant by death, resignation, or otherwise, it shall be the duty of the governor to fill the same by appointment, and the appointee shall hold his office until his successor shall be elected and qualified in such manner as may be prescribed by law.",63
"Wyoming","1889-09-30","The university shall be equally open to students of both sexes, irrespective of race or color; and, in order that the instruction furnished may be as nearly free as possible, any amount in addition to the income from its grants of lands and other sources above mentioned, necessary to its support and maintenance in a condition of full efficiency shall be raised by taxation or otherwise, tinder provisions of the legislature.",71
"Maryland","1867-08-17","Article 14.0 [Last Modified: 1/1/2003]   ARTICLE XIV  AMENDMENTS TO THE CONSTITUTION    Section 1.0 0 [Last Modified: 1/1/2003]   SECTION 1.",23
"New York","1938-08-25","The prohibitions of section 1 of this article shall not apply to any lands heretofore or hereafter acquired or dedicated for such purposes within the forest preserve counties but outside of the Adirondack and Catskill parks as now fixed by law, except that such lands shall not be leased, sold or exchanged, or be taken by any corporation, public or private.",61
"Louisiana","1913-11-22","In all cases where under existing law, other than the laws providing for bonded debts, a specified number of mills has been voted at a special tax election as a special annual tax to provide for public improvements, or the maintenance of public education or public improvements, the governing authority which levied such tax shall reduce the rate thereof to one-half of the millage; provided that this requirement shall not apply in any case where a parish has before the adoption hereof assessed taxable property at actual value and adjusted the special tax rate accordingly.",95
"South Carolina","1896-01-01","There shall be elected in each County, by the electors thereof, one Clerk for the Court of Common Pleas, who shall hold his office for the term of four years, and until his successor shall be elected and qualified.",39
"Louisiana","1974-01-01","Appears in the enrolled bill as Section 10.6]   Section 10.7c 0 [Last Modified: 6/16/2004 6:41:31 PM]  No Section Text  Amendment 181 [1995]   C.",27
"Florida","1839-01-11","Since this section ofthe Act does not indicate a specific section of Article IV, it has been assigned the next consecutivesection number, as if an addition to Article IV.]",29
"New York","1938-08-25","No tolls shall hereafter be imposed on persons or property transported on the canals, but all boats navigating the canals and the owners and masters thereof, shall be subject to such laws and regulations as have been or may hereafter be enacted concerning the navigation of the canals.",48
"Louisiana","1861-03-01","No person shall be entitled to vote at any election held in this State, except in the parish of his residence, and in cities and towns divided into election precincts, in the election precinct in which he resides.",38
"California","1879-05-07","If, after a hearing, or after considering the record and report of the masters, the commission finds good cause therefor, it shall recommend to the Supreme Court the removal or retirement, as the case may be, of the justice or judge.",41
"Nevada","1864-03-21","Notwithstanding the foregoing provision, and except as otherwise provided in subsection 1 or this section, taxes may be levied upon the income or revenue of any business in whatever form it may be conducted for profit in the state.",39
"California","1879-05-07","Upon the presentation to the Secretary of State within 90 days after the final adjournment of the Legislature of a petition certified as herein provided, to have been signed by qualified electors equal in number to 5 per cent of all the votes cast for all candidates for Governor at the last preceding general election at which a Governor was elected, asking that any act or section or part of any act of the Legislature be submitted to the electors for their approval or rejection, the Secretary of State shall submit to the electors for their approval or rejection, such act, or section or part of such act, at the next succeeding general election occurring at any time subsequent to 30 days after the filing of said petition or at any special election which may be called by the Governor, in his discretion, prior ro such regular election, and no such act or section or part of such act shall go into effect until and unless approved by a majority of the qualified electors voting thereon; but if a referendum petition is filed against any section or part of any act the remainder of such act shall not be delayed from going into effect.",204
"New Hampshire","1792-09-05","Notwithstanding Articles 9 and ll, a law providing for an apportionment to form representative districts under Articles 9 and ll of Part Second may divide a town, ward or unincorporated place into two or more representative districts if such town, ward or place, by referendum requests such division.",48
"Maryland","1864-09-06","[We have continued to treat these ""articles"" as sections in the Declaration of Rights]    Section 29.0 0 [Last Modified: 1/1/2003]   ART.",23
"South Carolina","1896-01-01","B 0 [Last Modified: 6/4/2004 8:43:18 AM]  No Section Text  Amendment 356 [1971]   SEC.",18
"Texas","1876-02-15","Austin State University; (7) Texas College of Osteopathic Medicine; (8) Texas State University System Administration and the following component institutions: (9) Angelo State University; (10) Sam Houston State University; (11) Southwest Texas State University; (12) Sul Ross State University including Uvalde Study Center; (13) Texas Southern University; (14) Texas Tech University; (15) Texas Tech University Health Sciences Center; (16) Texas Woman's University; (17) University of Houston System Administration and the following component institutions: (18) University of Houston- University Park; (19) University of Houston-Victoria; (20) University of Houston-Clear Lake; (21) University of Houston-Downtown; (22) University System of South Texas System Administration and the following component institutions; (23) Corpus Christi State University; (24) Laredo State University; (25) West Texas A&I; University; and (26) West Texas State University.  (c) Pursuant to a two thirds vote of the membership of each house of the legislature, institutions of higher education may be created at a later date by general law, and, when created, such an institution shall be entitled to participate in the funding provided by this section if it is not created as a part of The University of Texas System or The Texas A&M; University System.",195
"Oklahoma","1907-07-16","The board of county commissioners of any county may call a special election to determine whether or not the board shall provide solid waste management services for the county.",29
"Texas","1876-02-15","(2) General administration of the Judicial Retirement System of Texas is by the Board of Trustees of the Employees Retirement System of Texas under such regulations as may be provided by law.  (e) Anticipatory Legislation.",35
"Michigan","1835-05-11","No bill of attainder, ex post facto law, or law impairing the obligation of contracts, shall be passed.",18
"New York","1938-08-25","The judges of the court of city-wide civil jurisdiction shall be residents of such city and shall be chosen for terms of ten years by the electors of the counties included within the city of New York from districts within such counties established by law.",45
"Minnesota","1974-11-05","When the full faith and credit of the state has been pledged for the payment of bonds, the state auditor shall levy each year on all taxable property within the state a tax sufficient with the balance then on hand in the fund to pay all principal and interest on bonds issued under this section due and to become due within the ensuing year and to and including July 1 in the second ensuing year.",75
"Alaska","1959-01-03","Should the total civilian population within any election district fall below one-half of the quotient, the district shall be attached to an election district within its senate district, and the reapportionment for the new district shall be determined as provided in section 4 of this article.",46
"Alabama","1901-11-28","In order for the Cherokee County Rescue Service to maintain eligibility for tax proceedsit shall maintain current active membership in the Alabama Association of Rescue Squads.",26
"Maryland","1867-08-17","D created by amendment        108  Section 0.0 0 [Last Modified: 1/1/2003]  No Section Text  Amendment 108 [1952]   [Amendments 108-110 create article 11_D, they were part of the same legislation: Act of 1951, CHAPTER 199.",36
"Michigan","1964-01-01","All fines assessed and collected in the several counties, townships and cities for any breach of the penal laws shall be exclusively applied to the support of such public libraries, and county law libraries as provided by law.",38
"Hawaii","1959-08-21","With the approval of the supreme court he shall appoint an administrative director to serve at his pleasure.",18
"Alabama","1861-01-07","The Supreme Court, except in cases otherwise directed by this Constitution, shall have appellate jurisdiction only, which shall be co-extensive with the State, under such restrictions and regulations, not repugnant to this Constitution, as may from time to time, be prescribed by law: Provided , that the Supreme Court shall have power to issue writs of injunction, mandamus, quo warranto, habeas corpus , and such other remedial and original writs as may be necessary to give it a general superintendence and control of inferior jurisdiction.",83
"South Carolina","1865-09-27","Each judicial district in the State shall constitute one election district, except Charleston district, which shall be divided into two election districts; one, consisting of the late parishes of Saint Philip and Saint Michael, to be designated the election district of Charleston; the other, consisting of all that part of the judicial district which is without the limits of the said parishes, to be known as the election district of Berkeley.",71
"Ohio","1851-09-01","A 0 [Last Modified: 5/31/2006 6:04:37 PM]  No Section Text  Amendment 21 [1913]   ARTICLE I.",19
"Oklahoma","1907-07-16","Intangible personal property as below defined shall not be subject to ad valorem tax or to any other tax in lieu of ad valorem tax within this State:  (a) Money and cash on hand, including currency, gold, silver, and other coin, bank drafts, certified checks, and cashier's checks.  (b) Money on deposit in any bank, trust company, or other depository of money, within or without the State of Oklahoma, including certificates of deposit.  (c) Accounts and bills receivable, including brokerage accounts, and other credits, whether secured or unsecured.  (d) Bonds, promissory notes, debentures, and all other evidences of debt, whether secured or unsecured; except notes, debentures, and other evidences of debt secured by real estate mortgages which are subject to the Mortgage Registration Tax under Sections 12351-12362, inclusive, Oklahoma Statutes, 1931 (68 O.S.1961, Sections 1171-1182).  (e) Shares of stock or other written evidence or proportional shares of beneficial interests in corporations, joint stock companies, associations, syndicates, express or business trusts, special or limited partnerships, or other business organizations.  (f) All interests in property held in trust or on deposit within or without this State, and whether or not evidenced by certificates, shares, or other written evidence of beneficial ownership.  (g) Final judgments for the payment of money.  (h) All annuities and annuity contracts.",214
"Ohio","1851-09-01","In those instances where the population of a county is not less than ninety per cent nor more than one hundred ten per cent of the ratio of representation in the house of representatives, reasonable effort shall be made to create a house of representatives district consisting of the whole county.",51
"Nevada","1864-03-21","Except as otherwise provided in subsection 2,  a majority of all the members elected to each house, shall be necessary to pass every bill or joint resolution, and all bills or joint resolutions so passed, shall be signed by the presiding officers of the respective Houses and by the Secretary of the Senate and Clerk of the Assembly.",58
"Maryland","1864-09-06","[We have continued to treat these ""articles"" as sections in the Declaration of Rights]    Section 15.0 0 [Last Modified: 1/1/2003]   ART.",23
"Ohio","1851-09-01","The powers defined herein as the ""initiative"" and ""referendum"" shall not be used to pass a law authorizing any classification of property for the purpose of levying different rates of taxation thereon or of authorizing the levy of any single tax on land or land values or land sites at a higher rate or by a different rule than is or may be applied to improvements thereon or to personal property.",71
"Florida","1968-11-05","(3)May review by certiorari any decision of a district court of appeal that affects a class of constitutionalor state officers, that passes upon a question certified by a district court of appeal tobe of great public interest, or that is in direct conflict with a decision  of any district court of appealor of the supreme court on the same question of law, and any interlocutory order passing upona matter which upon final judgment would be directly appealable to the supreme court; and mayissue writs of certiorari to commissions established by general law having statewide jurisdiction.",96
"Alabama","1901-11-28","The referendum shall be held atthe same time as the election for the ratification of this amendment, as provided for in Section 4of this act, and no further election shall be required. (c)Act No. 93-536 which provides for an elected Board of Education in the City of Cullman is herebyratified.",51
"Kentucky","1799-08-17","The general assembly shall convene on the first Monday in the month of November in every year, unless a different day be appointed by law; and their session shall be held at the seat of government.",36
"Alabama","1901-11-28","The members of the Board of Trustees as now constituted shall hold office until their respective terms expire under existing law, and until their successors shall be elected and confirmed as hereinafter required.",33
"California","1849-11-13","The sessions of the Legislature shall be biennial, and shall commence on the first Monday of December next ensuing the election of its members, unless the Governor of the State shall in the interim, convene the Legislature by proclamation.",39
"California","1849-11-13","The times and places of holding the terms of the supreme court, and the general and special terms of the district courts within the several districts, shall be provided for by law.",32
"Louisiana","1913-11-22","All public service corporations organized under the laws of the State of Louisiana shall maintain in this State in charge of one or more of the general officers of such company their general offices for the operation and conduct of the business of such corporation.",45
"California","1879-05-07","Commission membership terminates if a member ceases to hold the position that qualified him for appointment.",16
"Louisiana","1898-05-12","In the event of a vacancy in the office of Lieutenant Governor by death, resignation, or any other cause, the President pro tempore of the Senate shall fill the office of Lieutenant Governor, performing all the duties incident to the office, and receiving its emoluments.",45
"California","1879-05-07","No bill many be passed by either house on or after September 1 of an even- numbered year except statutes calling elections, statutes providing for tax levies or appropriations for the usual current expenses of the State, and urgency statutes, and bills passed after being vetoed by the Governor.  (b) If the Legislature is in session, the Governor may reduce or eliminate one or more items of appropriation while approving other portions of a bill.",75
"Texas","1876-02-15","Such information shall be immediately made known to both the House of Representatives and the Senate and the necessary steps shall be taken to bring such appropriation to within the revenue, either by providing additional revenue or reducing the appropriation.",40
"Texas","1876-02-15","Each of said Courts of Appeals shall hold its sessions at a place in its district to be designated by the Legislature, and at such time as may be prescribed by law.",32
"Utah","1895-05-08","The Legislature shall provide for the establishment and maintenance of the state's education systems including: (a) a public education system, which shall be open to all children of the state; and (b) a higher education system.",36
"Oklahoma","1907-07-16","The Commission may, from time to time, authorize any such company disregard the foregoing provisions of this section, by charging such rates as Commission may prescribe as just and equitable between such company and the public to or from any junctional or competitive points or localities, or where the competition points located without this State may make necessary the prescribing of special rates the protection of the commerce of this State; but this section shall not apply to mileage tickets, or to any special excursion, or commutation rates, or to special rates for service rendered to this State, or to the United States, or in the interest of some public object when such tickets or rates shall have been prescribed or authorized by the Commission.",125
"Florida","1868-07-04","The term of the State officers elected at the first election under this Constitution, not otherwise provided for, shall continue until the first Tuesday of January, A.",27
"Alabama","1901-11-28","These Membersof the House of Representatives and the Senate shall jointly make all succeeding appointmentsto these two positions.",18
"Mississippi","1868-03-13","The rights of married women shall be protected by law, in property owned previous to marriage; and also, in all property acquired in good faith by purchase, gift, devise or bequest, after marriage; Provided, That nothing herein contained shall be so construed as to protect said property from being applied to the payment of their lawful debts.",57
"Minnesota","1857-08-30","All moneys received by the county treasurer under the provisions of title one (1), chapter thirty-eight (38), aforesaid, derived from the sale of internal improvement lands, shall be held at all times subject to the order and direction of the state treasurer, for the benefit of the fund to which it belongs; and on the fifteenth day of June in each year, and at such other times as he may be requested so to do by the state treasurer, he shall pay over to the said state treasurer all moneys received on account of such fund.",96
"Louisiana","1974-01-01","No title or sub-title, heading or sub-heading, marginal note, index, or table printed in or with this constitution shall be considered or construed to be a part of this constitution, but to be inserted only for convenience in reference.",39
"Nevada","1864-03-21","Right to vote; qualifications of electors; qualifications of nonelectors to vote for President, Vice President of United States.",18
"California","1879-05-07","The chairman shall seek to expedite judicial business and to equalize the work of the judges, and shall provide for the assignment of any judge to another court of a like or higher jurisdiction to assist a court or judge whose calender is congested, to act for a judge who is disqualified or unable to act, or to sit and hold court where a vacancy in the office of judge has occurred.",72
"Hawaii","1968-11-05","No citizen shall be denied enlistment in any military organization of this State nor be segregated therein because of race, religious principles or ancestry.",24
"Minnesota","1857-08-30","The permanent school fund of the state shall consist of (a) the proceeds of such lands as are or hereafter may be granted by the United States for the use of schools within each township, (b) the proceeds derived from swamp lands granted to the state, and (c) all cash and investments now or hereafter credited to the permanent school fund and to the swamp land fund.",67
"Alabama","1901-11-28","Such obligationsor evidences of indebtedness may (in addition to any pledge or pledges authorized by subdivision8 of this amendment) be issued upon the full faith and credit of the county or municipalityor may be limited as to the source of their payment.",42
"Arkansas","1874-10-13","This is Amendment No. 37 according to the numbering method for constitutional amendments used by the state of Arkansas.]",19
"Louisiana","1864-07-23","Article 14.0 [Last Modified: 6/14/2004 9:05:46 PM]   TITLE XIV  ORDINANCE    Section 152.0 0 [Last Modified: 6/14/2004 9:05:46 PM]   ART.",27
"Montana","1889-02-22","Private property shall not be taken or sold for the corporate debts of public corporations, but the Legislative Assembly may provide by law for the funding thereof, and shall provide by law for the payment thereof, including all funded debts and obligations, by assessment and taxation of all private property not exempt from taxation within the limits of the territory over which such corporations respectively have authority.",67
"Hawaii","1959-08-21","Any vacancy in the legislature shall be filled for the unexpired term in such manner as may be prescribed by law, or, if no provision be made by law, by appointment by the governor for the unexpired term.",38
"Hawaii","1978-11-07","The legislature, by a majority vote of the members to which each house is entitled, shall authorize the issuance of all general obligation bonds, bonds issued under special improvement statutes and revenue bonds issued by or on behalf of the State and shall prescribe by general law the manner and procedure for such issuance.",54
"New York","1938-08-25","The governor may remove any elective sheriff, county clerk, district attorney or register within the term for which he shall have been elected; but before so doing he shall give to such officer a copy of the charges against him and an opportunity of being heard in his defense.",49
"Michigan","1850-08-15","The regents thus elected shall constitute the board of regents of the university of Michigan.",15
"California","1879-05-07","Full publicity as to matters to be voted upon by the people is to be afforded by the setting out of the complete text of the proposed laws, together with arguments for and against them, in the ballot pamphlet mailed to each elector preceding the election at which they are submitted, and the only requirement for publication of such law shall be that it is set out at length in ballot pamphlets which the Secretary of State shall cause to be printed.",82
"Maryland","1776-11-10","And be it enacted, That Allegany county shall be divided into nine separate election districts; and the additional district shall be taken and laid off from the seventh and eighth election districts, as they are now numbered.",37
"North Dakota","1889-08-17","No duties shall be imposed by law upon the supreme court or any of the judges thereof, except such as are judicial, nor shall any of the judges thereof exercise any power of appointment except as herein provided.",38
"California","1849-11-13","The justices of the supreme court shall be elected at the general election by the qualified electors of the State, and shall hold their office for the term of six years from the 1st day of January next after their election: Provided, That the legislature shall, at its first meeting, elect a chief-justice and two associate justices of the supreme court, by a joint vote of both houses, and so classify them that one shall go out of office every two years.",82
"Alaska","1959-01-03","An initiative or referendum is proposed by an application containing the bill to be initiated or the act to be referred.",21
"New York","1938-08-25","None of the persons to be appointed by the legislative leaders shall be justices or judges or retired justices or judges.",21
"North Dakota","1889-08-17","The organizational meeting of the legislative assembly as provided in Section 53 shall not be counted as part of such eighty natural days, nor shall days spent in session at the call of the governor pursuant to Section 75, or while engaged in impeachment proceedings, be counted.",47
"Minnesota","1974-11-05","The governor and lieutenant governor shall be chosen jointly by a single vote applying to both offices in a manner prescribed by law.",23
"North Dakota","1981-01-01","A candidate for election must be a resident in the jurisdiction in which they are to serve at the time of the election.",23
"North Carolina","1868-07-01","Amendment 2 [1873]   Amend section two of the second article by striking out the word ""annually,"" and inserting in lieu thereof the word ""biennially;"" being in reference to the sessions of the General Assembly.",34
"Colorado","1876-03-14","Appeals may be taken from county to district courts, or to the supreme court, in such cases and in such manner as may be prescribed by law.",27
"Louisiana","1974-01-01","The final decision of the commission shall be subject to review on any question of law or fact upon appeal to the court of appeal wherein the commission is located, upon application filed with the commission within thirty calendar days after its decision becomes final.",45
"Arkansas","1874-10-13","All dram-shops and drinking-houses in this State, shall be closed during the day of said election, and the succeeding night; and any person selling or giving away intoxicating liquors during said day or night, shall be punished by fine not less than two hun­dred dollars, for each and every offence, or imprisoned not less than six months, or both.",59
"Louisiana","1879-07-23","The parishes of Caddo, Bossier, Webster, Bienville, Claiborne, Union, Lincoln, Jackson, Caldwell, Winn, Natchitoches, Sabine, DeSoto, and Red River shall compose the First Appellate Court District form which one judge shall be elected.",33
"Alabama","1901-11-28","Thelegislature may authorize the levy and collection of a one mill ad valorem tax in Mobile countyon real and personal property that is subject to such tax under the laws of this state for the purposeof controlling mosquitoes, rodents and other vectors of public health and welfare significance,and any acts of the legislature on this subject applicable to Mobile county that were enactedprior to the adoption of this amendment are hereby validated and reconfirmed.",75
"Maine","1819-12-06","The number of representatives shall, at the several periods of making such enumeration, be fixed and apportioned among the several counties, as near as may be, according to the number of inhabitants, having regard to the relative increase of population.",40
"Alabama","1865-09-12","No person shall, at one and the same time, hold the office of Governor, and any other office or commission, civil or military, either under this State, the United States, or any other State or government.",36
"Colorado","1876-03-14","Until the State shall be divided into senatorial districts, in accordance with the provisions of this article, said districts shall be constituted and numbered as follows: The county of Weld shall constitute the first district, and be entitled to one senator.",41
"Idaho","1890-07-03","All officers elected at said election shall hold their offices until the Legislature shall provide by law, in accordance with this Constitution, for the election of their successors, and until such successors shall be elected and qualified.",37
"Louisiana","1974-01-01","The governor shall appoint one member of the commission from the three persons nominated by each president.",17
"Mississippi","1890-11-01","All of said commissioners shall be qualified electors of the respective counties or parts of counties from which they may be chosen, except the one selected for the Louisville, New Orleans & Texas Railway Company; and the legislature shall provide that they shall each give bond for the faithful performance of his duties, and shall fix the penalty thereof; but the penalty of such bond in no instance shall be fixed at less than $10,000, and the sureties thereon shall be freeholders of the district.",84
"Texas","1876-02-15","The bonds authorized herein shall be called “Texas Park Development Bonds,” shall be executed in such form, denominations, and upon such terms as may be prescribed by law, provided, however, that the bonds shall bear a rate or rates of interest as may be fixed by the Parks and Wildlife Department or its successor, but the weighted average annual interest rate, as that phrase is commonly and ordinarily used and understood in the municipal bond market, or all the bonds issued and sold in any installment of any bonds shall not exceed four and one-half percent (4½ %) interest per annum; they may be issued in such installments as said Parks and Wildlife Department, or its successor, finds feasible and practical in accomplishing the purpose set forth herein.",127
"Maryland","1776-11-10","And be it enacted, That all that part of the second election district of Anne-Arundel county, lying out of the city of Annapolis, shall constitute and compose the second election district of said county.",34
"South Carolina","1896-01-01","Provided, that the provisions of this section requiring a petition of the freeholders and the holding of an election shall not apply to any obligation incurred by the City of Florence to Florence County or to any agency of Florence County resulting from a long-term lease of a portion of a multistoried office building to be erected by Florence County for the purpose of providing courthouse, jail, city hall, office and related facilities for Florence County and for the City of Florence and for other governmental agencies, pursuant to which the full faith and credit of the City of Florence is pledged to the payment of rent and other obligations under such lease.",113
"New York","1894-11-06","Any person who shall offer or promise a bribe, if it be rejected by the officer to whom it was tendered, shall be deemed guilty of an attempt to bribe, which is hereby declared to be a felony.",38
"Connecticut","1965-12-30","Article 2.00 [Last Modified: 1/1/2003]  No Article Text  Section 1.00 0 [Last Modified: 1/1/2003]   ARTICLE SECOND.",20
"Louisiana","1974-01-01","It shall be unnecessary to repeat the enacting clause after the first section of an act.",16
"New Jersey","1844-08-13","The legislature, at thenext session after the adoption thereof, and from time to time thereafter, shall prescribe the timeand mode of giving such notice, the evidence thereof, and how such evidence shall be preserved.",34
"Louisiana","1845-05-16","The supreme court, except in cases hereinafter provided, shall have appellate jurisdiction only, which jurisdiction shall extend to all cases where the matter in dispute shall exceed three hundred dollars, and to all cases in which the constitutionality or legality of any tax, toll, or impost, of any kind or nature soever, shall be in contestation, whatever may be the amount thereof; and likewise to all fines, forfeitures, and penalties imposed by municipal corporations, and in criminal cases on questions of law alone, whenever the punishment of death and labor may be inflicted, or when a fine exceeding three hundred dollars is actually imposed.",104
"Arkansas","1874-10-13","Article III, Section 3, of the Constitution of the State of Arkansas is hereby repealed and the following section is substituted therefor.",22
